,0
0,-0.8756253234433422
1,-0.8691164030672422
2,-0.879693077491946
3,-0.8917484976215484
4,-0.8990349373239033
5,-0.9088137625082052
6,-0.9136351120504971
7,-0.9243805671052013
8,-0.9349633168781226
9,-0.9384536281386733
10,-0.9351853508672259
11,-0.9359828702393435
12,-0.9170121788783915
13,-0.9097350069148366
14,-0.8910984547367271
15,-0.8776917367472681
16,-0.8555443979892652
17,-0.8309808438045341
18,-0.8369454978788861
19,-0.8400762510586963
20,-0.8607006209769683
21,-0.8652398117143549
22,-0.9077289034929032
23,-0.967741529286922
24,-0.9772531366034707
25,-1.0034323082812209
26,-1.0370747465723023
27,-1.0514213423854402
28,-1.0560309080624968
29,-1.0639371511180917
30,-1.040629270382177
31,-1.038700154370817
32,-1.0260883342936151
33,-1.0140300407665659
34,-0.9878859892037073
35,-0.96770981324773
36,-0.9605716579432881
37,-0.9431981186684435
38,-0.9498376925558276
39,-0.9302081507923091
40,-0.9325899711583666
41,-0.900705304439015
42,-0.8986504793915421
43,-0.8732474812973249
44,-0.8529332385770658
45,-0.8400732099223156
46,-0.8361803884823392
47,-0.819322901255392
48,-0.8397065427619628
49,-0.8311081529179363
50,-0.8193772205120637
51,-0.8103607553241579
52,-0.7899556370608734
53,-0.7767971109881895
54,-0.7623640231657107
55,-0.7008880649923394
56,-0.6915402248358654
57,-0.6468823106286815
58,-0.5880721131082447
59,-0.5601758413274887
60,-0.5307302343291791
61,-0.5024843922392737
62,-0.5008141798618223
63,-0.48990117209855577
64,-0.5180749173009855
65,-0.54124327133411
66,-0.5711486232850445
67,-0.5866546027899839
68,-0.6193673863679201
69,-0.6536049739612398
70,-0.654271571482609
71,-0.6608430696059306
72,-0.6801818357202222
73,-0.6652255335029564
74,-0.6436948793218071
75,-0.6371288024885986
76,-0.6358470543219505
77,-0.6078575313162315
78,-0.6024778130223851
79,-0.6064827358872467
80,-0.6144778592020911
81,-0.5900371409011309
82,-0.610272229855929
83,-0.6289825733730066
84,-0.6300618271431273
85,-0.650267221202954
86,-0.6620337545199092
87,-0.6496724413674717
88,-0.6281124851897592
89,-0.6277540308743716
90,-0.6178575516880858
91,-0.6149611665182599
92,-0.5957386516864647
93,-0.5972070192011832
94,-0.5829322950749961
95,-0.5790423594713889
96,-0.5344229440542838
97,-0.5254138732905498
98,-0.4773660186242713
99,-0.44336767946690653
100,-0.4327097078680757
101,-0.3909367724426581
102,-0.36773583262247134
103,-0.38169884724229663
104,-0.35425441445270384
105,-0.345563611474644
106,-0.33579635277352265
107,-0.3200276520942065
108,-0.30812613896088403
109,-0.29972252816483547
110,-0.2969284414992039
111,-0.28177673577331874
112,-0.26536704172961334
113,-0.24948966158593489
114,-0.22864662894373386
115,-0.2142485603342621
116,-0.19727277902710436
117,-0.16128675584103042
118,-0.1400467591292037
119,-0.11244826615808579
120,-0.09045987315726647
121,-0.04212627567457794
122,-0.032107158306944036
123,-0.014136545388274725
124,0.004612030663585072
125,0.0038835254834569816
126,0.037520715355357684
127,0.03982015107554484
128,0.03885165293305261
129,0.04149046362087247
130,0.058861265806460616
131,0.09471690853674966
132,0.1182022378833844
133,0.14381156498868974
134,0.1933432760786321
135,0.23161423260564762
136,0.2807121641818005
137,0.3052535428677392
138,0.3410876529276694
139,0.372380723503302
140,0.39738413865053335
141,0.4076694744645703
142,0.40348975203052206
143,0.4101641258341216
